105677.8432844057,64448.03830817773,6.296545635139609,3.309364962431234,1300,85000
km,fuel,age,price
-1.63958,-1,-1.90264,0.43728
0.03138,-1,-0.39178,0.20538
1.55664,-1,0.81691,0.10992
-0.32085,-1,0.21256,0.11231
-1.45978,1,-1.60047,0.34277
-0.45058,-1,-0.39178,0.16356
0.06706,-1,0.21256,0.10335
2.23936,-1,1.72343,0.05018
-1.54664,1,-1.29830,0.31888
-0.81737,1,-0.69395,0.30585
-1.05474,-1,-1.29830,0.22939
0.22223,-1,0.81691,0.09558
0.97477,-1,-0.39178,0.11589
0.78082,-1,0.81691,0.08423
-0.83289,1,-0.39178,0.21135
-0.09586,-1,0.81691,0.13967
-1.42679,-1,-1.60047,0.25806
-0.52256,-1,-0.08961,0.20908
1.30837,-1,-0.39178,0.09797
-0.35188,-1,1.11908,0.10382
0.50152,-1,0.81691,0.07407
-0.52256,-1,-0.69395,0.20418
-0.09369,-1,-0.39178,0.17443
1.86696,-1,0.51474,0.04779
1.46354,-1,1.11908,0.04779
-1.09666,1,-1.29830,0.42055
2.36535,-1,0.81691,0.08961
-1.44980,-1,-1.60047,0.40251
-0.64669,-1,-0.99613,0.26989
-1.37084,-1,-1.60047,0.32495
-0.15017,-1,0.51474,0.16368
0.36188,-1,-0.08961,0.12772
0.98067,-1,-0.39178,0.11470
-1.35734,-1,-0.99613,0.21852
0.24423,-1,0.21256,0.09785
1.35492,-1,1.11908,0.04659
-0.05707,-1,0.21256,0.09797
2.47210,-1,1.42126,0.04409
0.68617,-1,0.81691,0.08841
0.39291,-1,1.11908,0.11470
-1.38569,-1,-1.60047,0.22939
-1.25974,-1,-1.60047,0.35364
-0.76590,-1,-1.29830,0.21100
-0.91295,1,-0.99613,0.19833
-0.36739,1,1.11908,0.10992
0.50152,-1,0.81691,0.10382
1.02908,-1,0.51474,0.07168
0.42394,-1,1.11908,0.10992
1.07563,-1,0.81691,0.07395
0.37739,1,1.11908,0.09200
-0.01207,-1,0.51474,0.09188
-0.58462,-1,-0.39178,0.17802
1.15321,-1,0.21256,0.07407
1.86696,-1,2.02560,0.04648
-1.37596,1,-0.99613,0.30108
0.98253,-1,0.21256,0.10036
0.50152,-1,0.81691,0.07157
-1.28286,-1,-1.60047,0.34277
-0.73979,-1,-0.39178,0.15412
1.15321,-1,0.81691,0.11589
1.27734,-1,1.11908,0.07168
0.71099,-1,0.51474,0.08184
-0.38291,1,2.32777,0.18519
1.04903,-1,1.72343,0.05603
1.15321,-1,0.21256,0.09737
1.29286,-1,0.51474,0.08124
1.07563,-1,1.11908,0.06691
2.27039,-1,0.81691,0.04182
0.45497,-1,0.51474,0.09677
-1.40699,-1,-1.60047,0.28793
0.84288,-1,0.81691,0.07993
-1.01753,-1,0.21256,0.17443
-0.75530,-1,-1.29830,0.17802
-0.66717,-1,-0.69395,0.19940
0.56979,-1,-0.69395,0.14695
0.48058,-1,0.51474,0.10980
0.26878,-1,-0.08961,0.10393
0.16016,-1,-0.08961,0.13978
0.93598,-1,0.21256,0.08602
-0.97253,-1,-0.69395,0.19343
-1.33717,-1,-0.69395,0.22330
1.41699,-1,1.11908,0.08005
1.46354,-1,0.21256,0.08722
1.30837,-1,1.11908,0.05615
-0.42946,-1,0.21256,0.11350
-0.63893,-1,-0.08961,0.19940
-1.50256,1,-1.60047,0.34277
0.29981,-1,0.81691,0.08363
0.86150,-1,0.21256,0.08483
0.84288,-1,0.51474,0.10394
0.61014,1,0.51474,0.15711
-0.25335,-1,0.51474,0.15161
-0.32085,-1,-0.69395,0.16368
-1.63958,-1,-1.60047,0.30693
-0.98029,-1,-1.29830,0.24134
2.00661,-1,1.11908,0.06213
0.76530,-1,0.81691,0.09200
-1.50009,-1,-1.90264,0.41852
0.22223,1,1.42126,0.07049
-1.39070,-1,-1.60047,0.26511
0.25326,-1,-0.39178,0.13501
0.45497,-1,0.51474,0.13978
-0.01052,-1,-0.39178,0.16607
-0.22542,-1,-0.69395,0.15161
-1.48819,-1,-1.60047,0.22330
-0.01674,-1,-0.69395,0.16965
-0.86392,-1,-1.29830,0.27718
0.16016,-1,0.51474,0.09797
2.11523,-1,1.72343,0.04421
1.61870,-1,0.21256,0.08602
0.09810,-1,-0.69395,0.22222
2.70485,-1,2.02560,0.04540
0.08258,-1,-0.39178,0.18757
-1.51365,-1,-1.60047,0.24600
0.98253,-1,0.81691,0.06798
0.31533,-1,0.51474,0.12772
1.92903,-1,0.81691,0.06452
-0.39843,-1,-0.39178,0.18160
0.61014,-1,-0.08961,0.10275
0.62565,-1,-0.69395,0.13967
-1.00284,-1,-0.99613,0.18160
-0.69535,-1,-0.39178,0.20585
-1.45370,-1,-1.60047,0.40251
-0.71806,-1,-0.39178,0.16965
-1.26215,-1,-1.60047,0.28184
0.22223,-1,1.11908,0.10275
-1.63756,-1,1.11908,0.10382
0.20671,-1,0.51474,0.15771
0.70324,-1,-0.08961,0.10382
-1.19907,-1,-1.29830,0.25556
1.38596,-1,1.72343,0.04540
-0.23985,-1,-0.69395,0.18160
-0.32085,-1,-0.39178,0.15771
-0.28204,-1,-0.69395,0.14934
-1.36044,-1,-1.60047,0.34289
-0.53212,-1,-0.99613,0.19116
0.25326,-1,0.21256,0.13142
0.00500,-1,-0.69395,0.19952
0.45497,1,1.72343,0.07993
0.51704,-1,0.51474,0.09188
-0.16568,-1,-0.39178,0.15173
-1.21304,-1,-0.99613,0.18638
0.68772,-1,0.51474,0.08005
1.52560,-1,1.42126,0.04659
1.12218,-1,1.11908,0.06691
0.36188,-1,0.51474,0.08722
0.70324,-1,0.21256,0.09200
0.65669,-1,0.81691,0.13381
-0.79254,-1,-0.99613,0.17431
-1.05011,-1,-0.99613,0.16607
0.88167,-1,0.51474,0.06691
0.18344,-1,-0.39178,0.13978
-0.72427,-1,-0.69395,0.15771
-1.32165,-1,-1.60047,0.33094
-1.01753,-1,-0.99613,0.16965
-0.53542,-1,-0.99613,0.19833
1.30837,-1,0.81691,0.04421
-0.81582,-1,-0.69395,0.14695
1.71180,-1,-0.08961,0.10394
0.20671,-1,0.81691,0.11828
-0.59083,1,0.51474,0.16356
0.33239,-1,0.81691,0.09546
2.36349,-1,0.51474,0.03226
1.29286,-1,1.72343,0.05018
-0.50704,-1,0.21256,0.11589
0.37739,-1,1.11908,0.09198
-0.87535,-1,0.21256,0.17324
1.46354,-1,0.51474,0.07407
-0.15609,-1,-0.69395,0.19940
-0.50704,-1,-0.39178,0.18746
0.06706,-1,0.51474,0.15161
7.35976,-1,-0.99613,0.15771
0.45497,-1,-0.08961,0.16726
0.87392,-1,1.42126,0.08005
-1.33717,-1,-1.60047,0.30585
-0.08965,-1,-0.39178,0.13967
-0.44342,-1,0.21256,0.12533
1.04460,-1,0.81691,0.07766
-0.09775,-1,-0.08961,0.12186
-0.13775,-1,-0.69395,0.12772
1.38596,-1,1.11908,0.08602
-1.15873,-1,-0.39178,0.21087
0.62565,-1,0.81691,0.08244
0.22223,-1,1.11908,0.12784
1.65439,-1,0.81691,0.03214
-1.04856,1,-1.29830,0.24970
0.09099,-1,0.81691,0.11577
0.90495,-1,0.51474,0.13381
-1.31079,-1,-0.99613,0.29271
1.16873,-1,1.42126,0.06213
-1.63744,-1,1.11908,0.10633
1.15321,-1,0.51474,0.07885
1.77387,-1,0.51474,0.09797
-1.63950,-1,-1.90264,0.43728
0.64117,-1,-0.69395,0.13978
-1.32941,-1,-1.29830,0.27599
-0.11137,1,1.11908,0.19713
-0.76461,1,-0.69395,0.30824
-0.70100,-1,-0.99613,0.19952
-1.24162,-1,-1.29830,0.32497
-0.38291,-1,0.51474,0.15173
-1.03834,-1,-0.99613,0.19916
0.82737,-1,-0.08961,0.07527
0.10491,-1,0.21256,0.12772
-0.11603,1,-0.08961,0.13859
2.34797,-1,1.72343,0.04898
-0.78160,-1,-0.69395,0.21135
-1.54354,-1,2.02560,0.05854
0.68462,-1,0.21256,0.08901
0.54807,-1,0.81691,0.14695
1.71180,-1,0.81691,0.06213
-1.40106,-1,-1.60047,0.39048
0.57910,-1,-0.08961,0.13381
0.29205,-1,-0.08961,0.14815
-1.10113,1,-0.99613,0.22330
